height_over_sea_level	fall	net	flow	power_of_hydroelectrical_turbine
610.00	74.990	75.165	5.000	3275.22
600.00	66.160	65.765	3.500	1825.74
621.00	86.100	86.550	4.000	2872.73
599.00	64.940	63.920	5.500	2990.32
626.00	91.040	91.365	4.500	3464.56
600.00	66.040	65.365	4.500	2453.44
604.00	70.160	69.765	3.500	1962.86
614.00	78.690	77.540	8.000	5458.55
606.00	70.940	70.920	5.500	3421.99
601.00	66.940	65.920	5.500	3114.68
625.00	90.160	90.765	3.500	2537.26
617.00	81.740	80.840	7.500	5426.81
619.00	83.690	82.540	8.000	5867.76
615.00	79.690	78.540	8.000	5545.11
597.00	62.940	61.920	5.500	2871.29
606.00	70.790	70.140	7.000	4333.94
619.00	83.740	82.840	7.500	5566.34
597.00	62.740	60.840	7.500	3762.95
616.00	81.160	81.765	3.500	2316.50
614.00	78.990	79.165	5.000	3451.51
629.00	93.790	93.140	7.000	5841.71
620.00	84.590	82.840	9.000	6355.79
602.00	67.690	65.540	8.000	4379.76
607.00	71.890	71.665	6.000	3818.88
601.00	67.040	66.365	4.500	2498.69
623.00	87.990	88.165	5.000	3813.69
622.00	86.590	84.840	9.000	6547.15
627.00	91.740	90.840	7.500	6106.92
616.00	81.100	81.550	4.000	2718.50
630.00	94.990	95.165	5.000	4117.90
623.00	87.940	87.920	5.500	4260.63
615.00	79.640	78.190	8.500	5724.70
609.00	73.790	73.140	7.000	4567.91
621.00	86.160	86.765	3.500	2445.67
607.00	73.210	72.935	3.000	1704.59
606.00	70.890	70.665	6.000	3756.28
629.00	93.740	92.840	7.500	6235.34
592.00	58.100	57.550	4.000	1808.24
619.00	84.040	84.365	4.500	3232.65
604.00	69.790	68.140	7.000	4151.46
613.00	77.940	77.920	5.500	3788.28
615.00	81.210	80.935	3.000	1916.21
616.00	80.790	80.140	7.000	5038.52
604.00	69.990	69.165	5.000	2971.63
597.00	63.100	62.550	4.000	2020.14
594.00	59.890	58.665	6.000	2932.27
622.00	86.640	85.190	8.500	6351.92
604.00	69.940	68.920	5.500	3302.26
617.00	82.040	82.365	4.500	3160.35
626.00	90.740	89.840	7.500	6052.62
626.00	90.790	90.140	7.000	5669.32
627.00	91.590	89.840	9.000	7004.26
614.00	78.890	78.665	6.000	4212.27
593.00	58.940	57.920	5.500	2633.21
623.00	87.640	86.190	8.500	6432.80
618.00	83.100	83.550	4.000	2781.02
607.00	71.940	71.920	5.500	3479.58
623.00	87.840	87.415	6.500	5098.97
630.00	95.160	95.765	3.500	2614.44
630.00	94.790	94.140	7.000	5899.36
603.00	68.840	67.415	6.500	3827.62
628.00	92.690	91.540	8.000	6533.29
598.00	63.740	61.840	7.500	3860.64
620.00	84.640	83.190	8.500	6180.53
595.00	61.040	60.350	4.500	2215.72
612.00	76.590	74.840	9.000	5645.89
630.00	95.040	95.365	4.500	3630.98
614.00	78.790	78.140	7.000	4902.93
618.00	82.690	81.540	8.000	5791.08
608.00	72.990	73.165	5.000	3178.81
610.00	74.640	73.190	8.500	5267.49
613.00	77.890	77.665	6.000	4157.42
611.00	75.740	74.840	7.500	4980.60
606.00	70.990	71.165	5.000	3079.60
627.00	91.640	90.190	8.500	6756.95
624.00	88.640	87.190	8.500	6514.44
610.00	74.840	74.415	6.500	4324.04
624.00	88.890	88.665	6.000	4739.22
606.00	70.640	69.190	8.500	4095.41
617.00	81.890	81.665	6.000	4374.66
601.00	66.640	64.190	8.500	4244.60
602.00	67.640	65.190	8.500	4437.82
594.00	59.790	58.140	7.000	3336.76
615.00	80.040	80.365	4.500	3087.19
600.00	65.740	63.840	7.500	4029.39
612.00	77.040	77.365	4.500	2972.79
605.00	71.040	70.365	4.500	2684.37
624.00	88.940	88.920	5.500	4304.41
622.00	87.100	87.550	4.000	2900.22
610.00	74.740	73.840	7.500	4907.97
600.00	65.840	64.415	6.500	3594.32
616.00	82.210	81.935	3.000	1918.87
628.00	93.040	93.365	4.500	3526.71
609.00	73.740	72.840	7.500	4811.86
621.00	85.690	84.540	8.000	6022.18
616.00	80.890	80.665	6.000	4321.12
608.00	73.100	73.550	4.000	2448.11
598.00	64.100	63.550	4.000	2061.11
624.00	88.590	86.840	9.000	6738.92
629.00	93.990	94.165	5.000	4035.79
621.00	85.940	85.920	5.500	4168.76
618.00	82.990	83.165	5.000	3619.78
608.00	72.890	72.665	6.000	3877.93
592.00	58.040	57.365	4.500	2073.31
600.00	65.890	64.665	6.000	3331.84
596.00	62.100	61.550	4.000	1978.39
622.00	86.690	85.540	8.000	6097.29
598.00	63.990	63.165	5.000	2650.41
611.00	77.210	76.935	3.000	1802.07
613.00	77.790	77.140	7.000	4835.60
614.00	78.590	76.840	9.000	5836.88
617.00	81.990	82.165	5.000	3578.64
608.00	72.840	72.415	6.500	4198.04
603.00	68.690	66.540	8.000	4473.85
626.00	91.100	91.550	4.000	3007.52
598.00	64.160	63.765	3.500	1752.73
615.00	79.790	79.140	7.000	4970.40
603.00	69.160	68.765	3.500	1928.37
627.00	91.990	92.165	5.000	3965.92
619.00	83.590	81.840	9.000	6272.01
607.00	72.040	72.365	4.500	2768.76
618.00	83.160	83.765	3.500	2368.61
630.00	94.640	93.190	8.500	6986.26
620.00	85.040	85.365	4.500	3297.39
595.00	60.740	58.840	7.500	3517.58
607.00	71.740	70.840	7.500	4681.39
607.00	71.590	69.840	9.000	5044.92
627.00	92.160	92.765	3.500	2565.78
595.00	60.890	59.665	6.000	2997.65
601.00	66.990	66.165	5.000	2824.88
591.00	56.870	55.415	6.500	2902.40
627.00	91.690	90.540	8.000	6460.56
626.00	90.690	89.540	8.000	6389.89
610.00	74.690	73.540	8.000	5091.79
599.00	65.040	64.365	4.500	2405.69
598.00	63.840	62.415	6.500	3446.41
600.00	65.940	64.920	5.500	3050.81
625.00	89.840	89.415	6.500	5208.36
605.00	70.790	69.140	7.000	4241.34
613.00	77.740	76.840	7.500	5136.98
605.00	70.740	68.840	7.500	4445.09
609.00	73.690	72.540	8.000	4989.41
628.00	92.740	91.840	7.500	6171.51
610.00	74.590	72.840	9.000	5414.45
630.00	96.210	95.935	3.000	2111.73
601.00	66.740	64.840	7.500	4110.86
630.00	94.890	94.665	6.000	5017.36
612.00	76.940	76.920	5.500	3738.51
607.00	72.100	72.550	4.000	2413.55
612.00	76.640	75.190	8.500	5436.88
604.00	69.740	67.840	7.500	4355.92
606.00	71.160	71.765	3.500	2024.51
596.00	61.840	60.415	6.500	3300.12
624.00	88.690	87.540	8.000	6245.18
624.00	88.740	87.840	7.500	5909.73
614.00	79.100	79.550	4.000	2654.46
609.00	74.100	74.550	4.000	2484.96
596.00	61.740	59.840	7.500	3672.29
616.00	80.690	79.540	8.000	5621.00
628.00	94.210	93.935	3.000	2107.66
619.00	83.940	83.920	5.500	4078.40
629.00	93.890	93.665	6.000	4977.84
625.00	89.790	89.140	7.000	5611.23
619.00	83.640	82.190	8.500	6094.87
596.00	61.990	61.165	5.000	2545.24
596.00	61.890	60.665	6.000	3063.55
612.00	77.100	77.550	4.000	2588.19
600.00	65.790	64.140	7.000	3819.82
609.00	73.840	73.415	6.500	4260.53
602.00	67.790	66.140	7.000	3979.15
623.00	87.890	87.665	6.000	4687.82
609.00	73.990	74.165	5.000	3226.05
596.00	62.160	61.765	3.500	1683.63
616.00	80.590	78.840	9.000	6011.02
593.00	58.990	58.165	5.000	2384.41
605.00	70.590	67.840	9.000	4720.58
630.00	94.940	94.920	5.500	4547.82
629.00	95.210	94.935	3.000	2110.13
627.00	93.210	92.935	3.000	2099.10
625.00	90.100	90.550	4.000	2983.61
603.00	68.990	68.165	5.000	2928.11
626.00	91.160	91.765	3.500	2553.33
606.00	70.840	70.415	6.500	4071.73
623.00	88.100	88.550	4.000	2927.26
594.00	60.100	59.550	4.000	1891.30
614.00	79.160	79.765	3.500	2261.61
601.00	67.160	66.765	3.500	1860.57
609.00	74.040	74.365	4.500	2864.24
613.00	77.640	76.190	8.500	5529.53
607.00	71.790	71.140	7.000	4422.22
604.00	69.690	67.540	8.000	4555.88
592.00	57.890	56.665	6.000	2792.27
606.00	70.590	68.840	9.000	4905.55
594.00	59.740	57.840	7.500	3347.50
603.00	68.740	66.840	7.500	4272.72
610.00	74.790	74.140	7.000	4634.29
612.00	78.210	77.935	3.000	1826.08
613.00	78.100	78.550	4.000	2620.27
621.00	87.210	86.935	3.000	2015.06
624.00	89.040	89.365	4.500	3401.42
611.00	75.790	75.140	7.000	4701.28
602.00	68.100	67.550	4.000	2221.16
614.00	80.210	79.935	3.000	1874.52
624.00	88.990	89.165	5.000	3854.35
602.00	67.940	66.920	5.500	3177.33
615.00	80.160	80.765	3.500	2290.13
608.00	73.040	73.365	4.500	2810.69
628.00	92.640	91.190	8.500	6831.87
621.00	85.890	85.665	6.000	4584.38
618.00	82.640	81.190	8.500	6012.87
628.00	92.890	92.665	6.000	4932.18
604.00	69.840	68.415	6.500	3914.74
624.00	90.210	89.935	3.000	2055.25
608.00	72.640	71.190	8.500	5099.53
597.00	62.840	61.415	6.500	3372.41
610.00	74.890	74.665	6.000	3990.55
605.00	70.940	69.920	5.500	3362.14
606.00	70.740	69.840	7.500	4535.03
629.00	94.100	94.550	4.000	3076.49
618.00	82.890	82.665	6.000	4428.65
606.00	72.210	71.935	3.000	1675.16
629.00	93.690	92.540	8.000	6604.63
604.00	70.100	69.550	4.000	2299.16
616.00	80.990	81.165	5.000	3537.40
622.00	87.040	87.365	4.500	3335.45
629.00	93.590	91.840	9.000	7255.22
625.00	89.640	88.190	8.500	6601.37
618.00	84.210	83.935	3.000	1957.51
597.00	62.690	60.540	8.000	3755.61
607.00	71.840	71.415	6.500	4135.26
609.00	73.640	72.190	8.500	5183.31
615.00	80.100	80.550	4.000	2686.52
616.00	80.640	79.190	8.500	5823.60
605.00	70.840	69.415	6.500	3998.50
618.00	82.940	82.920	5.500	4029.40
621.00	85.990	86.165	5.000	3737.94
613.00	78.040	78.365	4.500	3012.15
597.00	62.990	62.165	5.000	2597.17
613.00	77.690	76.540	8.000	5374.17
616.00	80.940	80.920	5.500	3934.40
607.00	72.160	72.765	3.500	2055.79
602.00	68.040	67.365	4.500	2541.98
628.00	92.940	92.920	5.500	4469.14
600.00	65.990	65.165	5.000	2757.12
628.00	92.590	90.840	9.000	7094.76
606.00	71.040	71.365	4.500	2726.64
598.00	64.040	63.365	4.500	2359.34
611.00	75.590	73.840	9.000	5518.44
626.00	90.990	91.165	5.000	3927.28
595.00	60.990	60.165	5.000	2494.59
621.00	85.740	84.840	7.500	5707.36
620.00	86.210	85.935	3.000	1996.27
629.00	93.640	92.190	8.500	6913.55
614.00	78.740	77.840	7.500	5213.25
622.00	86.840	86.415	6.500	5044.97
604.00	70.040	69.365	4.500	2637.73
617.00	81.640	80.190	8.500	5919.28
611.00	75.640	74.190	8.500	5353.22
604.00	69.640	67.190	8.500	4703.02
601.00	66.790	65.140	7.000	3897.86
593.00	59.100	58.550	4.000	1849.71
626.00	90.640	89.190	8.500	6682.03
593.00	58.890	57.665	6.000	2863.83
618.00	82.740	81.840	7.500	5497.43
625.00	89.940	89.920	5.500	4346.19
593.00	59.040	58.365	4.500	2120.80
613.00	79.210	78.935	3.000	1851.07
592.00	57.790	56.140	7.000	3065.99
627.00	91.790	91.140	7.000	5727.92
615.00	79.890	79.665	6.000	4265.80
616.00	81.040	81.365	4.500	3124.13
595.00	60.790	59.140	7.000	3422.18
608.00	72.690	71.540	8.000	4899.39
616.00	80.740	79.840	7.500	5356.86
630.00	94.590	92.840	9.000	7261.37
620.00	84.940	84.920	5.500	4147.68
620.00	84.990	85.165	5.000	3698.29
595.00	61.100	60.550	4.000	1935.13
629.00	93.940	93.920	5.500	4509.67
617.00	81.690	80.540	8.000	5708.99
591.00	57.040	56.365	4.500	2024.05
617.00	81.940	81.920	5.500	3981.74
623.00	87.690	86.540	8.000	6171.22
627.00	91.940	91.920	5.500	4427.36
609.00	74.160	74.765	3.500	2117.90
594.00	59.940	58.920	5.500	2692.87
603.00	68.940	67.920	5.500	3237.11
629.00	94.040	94.365	4.500	3558.33
592.00	57.990	57.165	5.000	2327.54
603.00	68.790	67.140	7.000	4063.35
614.00	78.940	78.920	5.500	3838.09
617.00	81.590	79.840	9.000	6098.90
625.00	90.040	90.365	4.500	3432.48
623.00	89.210	88.935	3.000	2042.36
620.00	85.100	85.550	4.000	2841.89
603.00	68.640	66.190	8.500	4572.62
626.00	90.940	90.920	5.500	4384.97
630.00	94.740	93.840	7.500	6297.76
603.00	69.040	68.365	4.500	2589.43
592.00	57.940	56.920	5.500	2569.39
602.00	67.740	65.840	7.500	4192.01
605.00	70.890	69.665	6.000	3692.94
626.00	92.210	91.935	3.000	2081.66
604.00	69.590	66.840	9.000	4591.21
629.00	94.160	94.765	3.500	2590.70
612.00	76.890	76.665	6.000	4102.62
602.00	67.990	67.165	5.000	2865.92
630.00	95.100	95.550	4.000	3090.96
599.00	64.690	62.540	8.000	4096.06
617.00	83.210	82.935	3.000	1938.47
605.00	70.640	68.190	8.500	4801.54
621.00	86.040	86.365	4.500	3299.93
601.00	66.840	65.415	6.500	3670.99
599.00	64.790	63.140	7.000	3743.56
597.00	62.890	61.665	6.000	3128.97
610.00	76.210	75.935	3.000	1776.96
608.00	72.590	70.840	9.000	5153.46
607.00	71.640	70.190	8.500	5016.03
604.00	69.890	68.665	6.000	3618.87
614.00	78.640	77.190	8.500	5632.13
612.00	76.690	75.540	8.000	5283.22
605.00	71.100	70.550	4.000	2337.68
621.00	85.590	83.840	9.000	6451.24
607.00	71.690	70.540	8.000	4806.83
612.00	76.840	76.415	6.500	4450.58
610.00	75.040	75.365	4.500	2893.53
